anio,semana_epi,provincia,temp,hum,precip_mm
2022,1,Buenos Aires,24.7,52.0,0.0
2022,1,CABA,24.0,60.8,0.0
2022,1,Catamarca,28.6,44.6,0.3
2022,1,Chaco,27.5,63.5,0.1
2022,1,Chubut,21.1,41.6,0.0
2022,1,Corrientes,27.5,55.9,0.1
2022,1,Córdoba,26.0,51.2,0.1
2022,1,Entre Ríos,26.3,53.2,0.0
2022,1,Formosa,29.4,54.9,0.2
2022,1,Jujuy,20.0,63.7,0.6
2022,1,La Pampa,25.8,50.5,0.0
2022,1,La Rioja,28.3,43.7,0.2
2022,1,Mendoza,25.6,44.8,0.1
2022,1,Misiones,24.1,70.0,0.5
2022,1,Neuquén,23.3,42.7,0.0
2022,1,Río Negro,22.4,42.7,0.1
2022,1,Salta,26.0,62.4,0.6
2022,1,San Juan,29.3,38.1,0.2
2022,1,San Luis,26.4,47.0,0.1
2022,1,Santa Cruz,14.5,45.4,0.1
2022,1,Santa Fe,27.7,53.4,0.0
2022,1,Santiago del Estero,29.7,46.3,0.3
2022,1,Tierra del Fuego,8.2,61.3,0.2
2022,1,Tucumán,27.0,64.1,0.3
2022,2,Buenos Aires,29.9,48.8,0.1
2022,2,CABA,28.9,62.4,0.2
2022,2,Catamarca,33.1,29.8,0.0
2022,2,Chaco,32.0,46.4,0.0
2022,2,Chubut,20.8,34.8,0.0
2022,2,Corrientes,32.3,43.6,0.0
2022,2,Córdoba,31.9,41.8,0.1
2022,2,Entre Ríos,32.1,44.0,0.1
2022,2,Formosa,32.8,40.0,0.0
2022,2,Jujuy,21.6,51.2,0.1
2022,2,La Pampa,31.1,44.9,0.0
2022,2,La Rioja,33.3,27.3,0.0
2022,2,Mendoza,28.9,40.2,0.0
2022,2,Misiones,27.1,57.7,0.0
2022,2,Neuquén,23.8,30.8,0.0
2022,2,Río Negro,22.5,42.2,0.0
2022,2,Salta,28.9,44.4,0.0
2022,2,San Juan,33.3,32.5,0.0
2022,2,San Luis,31.5,35.3,0.1
2022,2,Santa Cruz,12.4,47.4,0.2
2022,2,Santa Fe,33.2,41.4,0.1
2022,2,Santiago del Estero,34.5,32.3,0.0
2022,2,Tierra del Fuego,6.7,64.1,0.7
2022,2,Tucumán,31.9,40.3,0.0
2022,3,Buenos Aires,21.2,82.4,1.4
2022,3,CABA,23.5,81.4,1.2
2022,3,Catamarca,25.7,66.5,0.5
2022,3,Chaco,32.9,52.5,0.3
2022,3,Chubut,15.9,57.2,0.3
2022,3,Corrientes,32.1,57.7,0.3
2022,3,Córdoba,22.0,78.4,1.2
